filename,公司全称,公司简称,公司代码,文件名称,落款日期,会议类型,会议届次,会议召开时间,篇幅页码,字数,关联公告,议案列表
145987043_2025-10-10_江西长运第十届董事会第三十次会议决议公告.pdf,江西长运股份有限公司,江西长运,600561,江西长运股份有限公司第十届董事会第三十次会议决议公告,2025年10月10日,董事会,第十届董事会第三十次会议,2025年10月9日,2,880,《江西长运股份有限公司第十届董事会第三十次会议决议公告》,"[{""议案名称"": ""《关于拟签署调解协议书的议案》"", ""议案内容"": ""在江西省高级人民法院主持下，同意公司与九江市交通运输局签署《调解协议书》，就武宁县沙田新区客运站主站房、修理厂、其他建筑及附属设备对价款纠纷达成调解协议。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意8票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于子公司江西长运吉安公共交通有限责任公司位于吉州区长岗南路61号2号地块土地使用权征收补偿的议案》"", ""议案内容"": ""同意江西长运吉安公共交通有限责任公司与吉安市国有土地上房屋征收与补偿事务中心、吉安市房屋征收与补偿服务中心签署《土地征收补偿协议》，吉安市国有土地上房屋征收与补偿事务中心按照相关土地的估价结果，以419.9588万元对江西长运吉安公共交通有限责任公司位于吉州区长岗南路61号2号地块土地使用权进行征收。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意8票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987062_2025-10-10_电投产融：第七届董事会第二十八次会议决议公告.PDF,国家电投集团产融控股股份有限公司,电投产融,000958,国家电投集团产融控股股份有限公司第七届董事会第二十八次会议决议公告,2025年10月11日,董事会,第七届董事会第二十八次会议,2025年10月10日,2,756,《国家电投集团产融控股股份有限公司第七届董事会第二十八次会议决议公告》,"[{""议案名称"": ""《关于2025年中期利润分配预案的议案》"", ""议案内容"": ""以总股本5,383,418,520股为基数，向全体股东每10股派发现金红利1.1元（含税），共派发现金红利592,176,037.20元。本次不送红股，不以资本公积金转增股本。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于召开2025年第四次临时股东大会的议案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987065_2025-10-10_电投产融：第七届监事会第十八次会议决议公告.PDF,国家电投集团产融控股股份有限公司,电投产融,000958,国家电投集团产融控股股份有限公司第七届监事会第十八次会议决议公告,2025年10月11日,监事会,第七届监事会第十八次,2025年10月10日,2,588,《国家电投集团产融控股股份有限公司第七届监事会第十八次会议决议公告》,"[{""议案名称"": ""《关于2025年中期利润分配预案的议案》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经监事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意3票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987074_2025-10-10_第五届董事会第十七次会议决议公告.pdf,吉林奥来德光电材料股份有限公司,奥来德,688378,第五届董事会第十七次会议决议公告,2025年10月11日,董事会,第五届董事会第十七次,2025年10月10日,2,772,《第五届董事会第十七次会议决议公告》,"[{""议案名称"": ""《关于作废处理2022年限制性股票激励计划部分限制性股票暨终止2022年限制性股票激励计划的议案》"", ""议案内容"": ""作废处理2022年限制性股票激励计划部分限制性股票暨终止2022年限制性股票激励计划"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订公司部分内部制度的议案》"", ""议案内容"": ""修订《董事会秘书工作细则》《董事会提名委员会规则》《董事会薪酬与考核委员会规则》《董事会战略委员会规则》《董事、高级管理人员离职管理制度》《内部控制制度》《内幕信息知情人登记制度》《年报信息披露重大差错责任追究制度》《投资者关系管理制度》《信息披露暂缓与豁免管理办法》《重大信息内部报告制度》《总经理工作细则》"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987095_2025-10-10_第三届董事会第十二次会议决议公告.pdf,江苏共创人造草坪股份有限公司,共创草坪,605099,第三届董事会第十二次会议决议公告,2025年10月11日,董事会,第三届董事会第十二次会议,2025年10月10日,2,697,《第三届董事会第十二次会议决议公告》,"[{""议案名称"": ""《关于变更财务总监的议案》"", ""议案内容"": ""公司于近日收到财务总监姜世毅先生的辞职申请，因内部工作调整，姜世毅先生向董事会申请辞去财务总监一职，其书面辞职报告于本次会议召开日正式送达公司董事会。姜世毅先生辞职后将继续担任公司第三届董事会董事和副总裁、董事会秘书职务。为保证公司规范运作和财务工作的有效开展，由公司董事长兼总裁王强翔先生提名，经公司第三届董事会提名委员会、董事会审计委员会事前审查通过，董事会同意聘任沈恺先生担任财务总监职务，即日生效。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意6票，反对0票，弃权0票"", ""回避情况"": ""姜世毅先生为本议案的关联董事，已回避表决""}]"
145987118_2025-10-10_[临时公告]大禹生物_第四届董事会第六次会议决议公告.pdf,山西大禹生物工程股份有限公司,大禹生物,920970,第四届董事会第六次会议决议公告,2025年10月10日,董事会,第四届董事会第六次会议,2025年10月9日,3,1399,《第四届董事会第六次会议决议公告》,"[{""议案名称"": ""《关于变更回购股份用途并注销暨减少注册资本的议案》"", ""议案内容"": ""具体内容详见公司2025年10月10日在北京证券交易所信息披露平台(http://www.bse.cn/)上披露的《关于变更回购股份用途并注销暨减少注册资本的公告》（公告编号：2025-121）。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""本议案不涉及关联交易事项，无需回避表决""}, {""议案名称"": ""《关于拟减少公司注册资本并修订<公司章程>的议案》"", ""议案内容"": ""具体内容详见公司2025年10月10日在北京证券交易所信息披露平台(http://www.bse.cn/)上披露的《关于拟减少公司注册资本并修订<公司章程>公告》（公告编号：2025-122）。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""本议案不涉及关联交易事项，无需回避表决""}, {""议案名称"": ""《关于对全资孙公司增资的议案》"", ""议案内容"": ""具体内容详见公司2025年10月10日在北京证券交易所信息披露平台(http://www.bse.cn/)上披露的《关于对全资孙公司增资的公告》（公告编号：2025-123）。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""本议案不涉及关联交易事项，无需回避表决""}, {""议案名称"": ""《关于提请召开公司2025年第四次临时股东会的议案》"", ""议案内容"": ""根据《公司法》等法律法规及《公司章程》等有关规定，公司董事会拟提请2025年10月28日召开2025年第四次临时股东会，审议公司董事会已审议通过尚需股东会审议的议案。具体内容详见公司2025年10月10日在北京证券交易所信息披露平台(http://www.bse.cn/)上披露的《关于召开2025年第四次临时股东会通知公告（提供网络投票）》（公告编号：2025-120）。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""本议案不涉及关联交易事项，无需回避表决""}]"
145987139_2025-10-10_光华科技：第六届董事会第三次会议决议公告.PDF,广东光华科技股份有限公司,光华科技,002741,第六届董事会第三次会议决议公告,2025年10月11日,董事会,第六届董事会第三次会议,2025年10月10日,1,557,《第六届董事会第三次会议决议公告》,"[{""议案名称"": ""《关于增加募投项目实施主体的议案》"", ""议案内容"": ""为了满足募投项目的实际开展需要，提高募集资金的使用效率，加快募投项目的实施进度。公司增加全资子公司广东光华创源新材料有限公司为公司募投项目“专用化学材料智能制造项目”实施主体。具体内容详见与本公告同日披露于《证券时报》《中国证券报》《上海证券报》《证券日报》和巨潮资讯网(http://www.cninfo.com.cn)。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987145_2025-10-10_科达利：第五届董事会第二十三次（临时）会议决议公告.PDF,深圳市科达利实业股份有限公司,科达利,002850,深圳市科达利实业股份有限公司第五届董事会第二十三次（临时）会议决议公告,2025年10月11日,董事会,第五届董事会第二十三次（临时）会议,2025年10月10日,2,738,《深圳市科达利实业股份有限公司第五届董事会第二十三次（临时）会议决议公告》,"[{""议案名称"": ""《关于对外投资设立香港全资子公司的议案》"", ""议案内容"": ""为有效拓展海外市场，提升国际竞争力，推进公司长远战略的实施，公司拟以自有资金出资不超过300万港元（按当前汇率折合人民币约275万元），在中华人民共和国香港特别行政区设立全资子公司。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987148_2025-10-10_第三届董事会第十九次会议决议公告.pdf,株洲华锐精密工具股份有限公司,华锐精密,688059,第三届董事会第十九次会议决议公告,2025年10月11日,董事会,第三届董事会第十九次,2025年10月10日,2,738,《第三届董事会第十九次会议决议公告》,"[{""议案名称"": ""《关于设立2024年度向特定对象发行股票募集资金专项账户的议案》"", ""议案内容"": ""为合法、高效地完成公司2024年度向特定对象发行股票工作，根据《上市公司募集资金监管规则》《上海证券交易所科创板上市公司自律监管指引第1号——规范运作》等相关法律、法规、规范性文件的规定，经公司2024年第二次临时股东大会授权，董事会将根据募集资金管理的需要开设募集资金专项账户，用于本次发行的募集资金专项存储和使用。同时授权公司管理层及其授权人士与保荐机构、相应拟开户银行在募集资金到账后一个月内签署募集资金监管协议，对募集资金的存放和使用情况进行监管。公司在签订募集资金监管协议后，将及时履行相应的信息披露义务。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987150_2025-10-10_财达证券股份有限公司第四届董事会第十一次会议决议公告.pdf,财达证券股份有限公司,财达证券,600906,财达证券股份有限公司第四届董事会第十一次会议决议公告,2025年10月11日,董事会,第四届董事会第十一次会议,2025年10月10日,2,903,《财达证券股份有限公司第四届董事会第十一次会议决议公告》,"[{""议案名称"": ""《关于提名第四届董事会非独立董事候选人的议案》"", ""议案内容"": ""同意提名刘红兵先生为公司第四届董事会非独立董事候选人，待股东会审议通过之日起，刘红兵先生与现任董事会其他成员一并组成第四届董事会，任期至第四届董事会届满日止。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意10票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订<总经理办公会议事规则>的议案》"", ""议案内容"": ""同意对《财达证券股份有限公司总经理办公会议事规则》相关条款进行修订。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意10票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于公司职业经理人2024年度及2022—2024年度任期考核情况的报告》"", ""议案内容"": ""同意《关于公司职业经理人2024年度及2022—2024年度任期考核情况的报告》。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意10票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请召开2025年第一次临时股东会的议案》"", ""议案内容"": ""同意提请召开2025年第一次临时股东会，会议通知及会议材料与本公告同日发布，全文详见上海证券交易所网站http://www.sse.com.cn。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意10票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987165_2025-10-10_普联软件：第四届董事会第二十六次会议决议公告.PDF,普联软件股份有限公司,普联软件,300996,第四届董事会第二十六次会议决议公告,2025年10月10日,董事会,第四届董事会第二十六次,2025年10月10日,2,1412,《第四届董事会第二十六次会议决议公告》,"[{""议案名称"": ""《关于2024年限制性股票激励计划授予数量及授予价格调整、部分限制性股票作废的议案》"", ""议案内容"": ""董事会同意公司2024年度权益分派实施后，2024年限制性股票激励计划已经授予尚未归属的股票授予数量由390万股调整为546万股、授予价格由11元/股调整为7.75元/股。根据《上市公司股权激励管理办法》《深圳证券交易所创业板股票上市规则》《2024年限制性股票激励计划（草案）》，以及公司2024年第五次临时股东大会的授权，公司2024年限制性股票激励计划首次授予及预留授予的27名激励对象，因2024年度公司层面业绩考核归属比例为76.0484%，结合激励对象个人层面的业绩完成率，同意经考核本期不能归属的527,363股限制性股票不得归属，予以作废。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意8票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于2024年限制性股票激励计划首次授予部分第一个归属期及预留授予部分第一个归属期归属条件成就的议案》"", ""议案内容"": ""根据《上市公司股权激励管理办法》和公司《2024年限制性股票激励计划（草案）》的相关规定以及2024年第五次临时股东大会的授权，董事会认为公司2024年限制性股票激励计划首次授予部分第一个归属期及预留授予部分第一个归属期的归属条件已经成就，符合本期归属条件的激励对象共计27人，可归属的限制性股票数量为1,656,637股（数量调整后），同意公司为符合条件的激励对象办理第二类限制性股票归属相关事宜。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意8票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987181_2025-10-10_完美世界：第六届监事会第十二次会议决议公告.PDF,完美世界股份有限公司,完美世界,002624,第六届监事会第十二次会议决议公告,2025年10月10日,监事会,第六届监事会第十二次会议,2025年10月10日,2,643,《第六届监事会第十二次会议决议公告》,"[{""议案名称"": ""《关于修订<公司章程>的议案》"", ""议案内容"": ""根据《中华人民共和国公司法》《上市公司章程指引》（2025年修订）及中国证券监督管理委员会于2024年12月27日发布的《关于新<公司法>配套制度规则实施相关过渡期安排》等相关法律、法规的规定，结合公司实际情况，公司将不再设置监事会与监事，免去张丹、韩长艳监事职务，监事会的职权由董事会审计委员会行使，《监事会议事规则》等监事会相关制度相应废止，同时对《公司章程》进行修订。"", ""审议状态"": ""已经监事会审议通过，尚需提交股东会审议"", ""表决情况"": ""3票同意、0票反对、0票弃权"", ""回避情况"": ""未找到""}]"
145987199_2025-10-10_完美世界：第六届董事会第十六次会议决议公告.PDF,完美世界股份有限公司,完美世界,002624,第六届董事会第十六次会议决议公告,2025年10月10日,董事会,第六届董事会第十六次会议,2025年10月10日,4,2524,《第六届董事会第十六次会议决议公告》,"[{""议案名称"": ""《关于修订<公司章程>的议案》"", ""议案内容"": ""根据《中华人民共和国公司法》《上市公司章程指引》（2025年修订）及中国证券监督管理委员会于2024年12月27日发布的《关于新<公司法>配套制度规则实施相关过渡期安排》等相关法律、法规的规定，结合公司实际情况，公司将不再设置监事会与监事，免去张丹、韩长艳监事职务，监事会的职权由董事会审计委员会行使，《监事会议事规则》等监事会相关制度相应废止，同时对《公司章程》进行修订。公司董事会提请股东大会授权公司管理层办理工商变更登记、章程备案等相关事宜，授权的有效期限自公司股东大会审议通过之日起至本次相关工商变更登记事项办理完毕之日止。具体备案登记内容以市场监督管理部门最终核准、登记的情况为准。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订、制定公司部分管理制度的议案》"", ""议案内容"": ""为全面贯彻落实新《公司法》及其配套规则要求，进一步提升公司规范运作水平，完善公司治理结构，根据《公司法》《深圳证券交易所股票上市规则》《深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作》等相关规定，结合公司实际情况，公司对部分制度进行修订、制定。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于召开2025年第一次临时股东大会的议案》"", ""议案内容"": ""董事会决定于2025年10月27日以现场投票和网络投票相结合的方式召开2025年第一次临时股东大会。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
