filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145873833_2025-09-23_[定期报告]东方碳素_2021年年度报告.pdf,平顶山东方碳素股份有限公司,东方碳素,832175,年度报告,2022-04-27,同比下降,立信会计师事务所（特殊普通合伙）,冯万奇、李福兴,标准无保留意见,未找到,324798210.47,208660033.75,55.66,45191934.31,31406118.00,43.90,44359409.15,27835577.33,59.36,467133987.24,389255421.51,20.01,337074914.57,289325485.25,16.50,13424762.56,22522584.39,-40.39,0.52,0.36,43.88,14.49,11.58,-,27.84%,第一节 重要提示、目录和释义;第二节 公司概况;第三节 会计数据和财务指标;第四节 管理层讨论与分析;第五节 重大事件;第六节 股份变动、融资和利润分配;第七节 董事、监事、高级管理人员及核心员工情况;第八节 行业信息;第九节 公司治理、内部控制和投资者保护;第十节 财务会计报告;第十一节 备查文件目录,未找到,中文,是,171,106103,30326309.55,31406118.00,未找到,未找到,未找到,130059072.67,467133987.24,未找到,未找到,未找到
145888121_2025-09-29_力帆科技（集团）股份有限公司2023年年度报告（更正后）.pdf,力帆科技（集团）股份有限公司,力帆科技,601777,力帆科技（集团）股份有限公司2023年年度报告,2024-01-31,同比下降,天职国际会计师事务所（特殊普通合伙）,童文光、刘太平,标准无保留意见,未找到,"6,768,342,383.29","8,654,224,620.65",-21.79,"24,212,209.15","154,681,530.45",-84.35,"-134,895,545.92","61,101,431.31",-320.77,"21,799,080,032.44","20,638,209,181.74",5.62,"10,438,342,371.54","10,226,161,072.04",2.07,"-238,841,640.15","-255,230,186.06",不适用,0.01,0.03,-66.67,0.21,1.51,减少1.30个百分点,未找到,第一节 释义;第二节 公司简介和主要财务指标;第三节 管理层讨论与分析;第四节 公司治理;第五节 环境与社会责任;第六节 重要事项;第七节 股份变动及股东情况;第八节 优先股相关情况;第九节 债券相关情况;第十节 财务报告,"经天职国际会计师事务所（特殊普通合伙）审计，公司2023年度合并报表实现归属上市公司股东的净利润为24,212,209.15元，其中母公司实现净利润为45,885,364.18元。截至2023年12月31日，合并报表未分配利润余额为-2,827,088,504.64元，其中母公司未分配利润余额为-974,408,747.83元。鉴于公司2023年末可供分配利润为负数，根据《公司法》《公司章程》的相关规定，公司不具备现金分红的前提条件。综合考虑公司的长远发展和全体股东利益，2023年度不进行利润分配（含现金分红和股票股利分配），不实施资本公积金转增股本。该利润分配预案尚需提交公司2023年年度股东大会审议。",中文,是,282,194875,"24,212,209.15","154,681,530.45",未找到,未找到,未找到,未找到,未找到,"经天职国际会计师事务所（特殊普通合伙）审计，公司2023年度合并报表实现归属上市公司股东的净利润为24,212,209.15元，其中母公司实现净利润为45,885,364.18元。截至2023年12月31日，合并报表未分配利润余额为-2,827,088,504.64元，其中母公司未分配利润余额为-974,408,747.83元。鉴于公司2023年末可供分配利润为负数，根据《公司法》《公司章程》的相关规定，公司不具备现金分红的前提条件。综合考虑公司的长远发展和全体股东利益，2023年度不进行利润分配（含现金分红和股票股利分配），不实施资本公积金转增股本。该利润分配预案尚需提交公司2023年年度股东大会审议。",未找到,未找到
145976198_2025-08-18_[定期报告]五新隧装_2025年一季度报告（更正后）.pdf,湖南五新隧道智能装备股份有限公司,五新隧装,835174,2025年第一季度报告（更正后）,2025-03-31,同比下降,未找到,未找到,未找到,未找到,172569575.11,193397297.02,-10.77,32195593.85,36191392.42,-11.04,29526075.15,36518408.68,-19.15,1084526816.02,1106779327.81,-2.01,797508089.34,764159929.28,4.36,30741848.87,167114.68,1739.57,0.36,0.41,-12.20,4.12,5.23,-,26.46%,第一节 重要提示;第二节 公司基本情况;第三节 重大事件;第四节 财务会计报告,未找到,中文,是,24,16966,32195593.85,36191392.42,未找到,未找到,未找到,287018726.68,1084526816.02,未找到,未找到,未找到
145980209_2025-08-28_[定期报告]凯德石英_2025年一季度报告（更正后）.pdf,北京凯德石英股份有限公司,凯德石英,835179,2025年第一季度报告,2025-04-25,同比下降,未找到,未找到,未找到,未找到,"85,317,542.06","84,633,111.64",0.81,"9,976,972.59","11,542,541.29",-13.56,"9,811,708.37","11,205,813.40",-12.44,"1,039,332,415.62","1,011,705,895.55",2.73,"743,038,771.04","731,251,527.15",1.61,"-2,378,574.20","-12,654,803.38",81.20,0.13,0.16,-18.75,1.35,1.65,-,21.68%,第一节 重要提示;第二节 公司基本情况;第三节 重大事件;第四节 财务会计报告,未找到,中文,是,21,15253,"12,630,280.60","13,860,011.36",未找到,未找到,未找到,"225,367,246.71","1,039,332,415.62",未找到,未找到,未找到
145992588_2025-10-14_2025年第三季度报告.pdf,浙江中国小商品城集团股份有限公司,小商品城,600415,浙江中国小商品城集团股份有限公司2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,5348330787.38,未找到,39.02,1766376648.77,未找到,100.52,1723498723.39,未找到,99.56,45298498791.54,39168460647.21,15.65,22184712232.78,20503756457.46,8.20,不适用,不适用,不适用,0.32,未找到,100.00,7.93,未找到,增加3.4个百分点,51.08%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,13658,3464643934.19,2331992676.03,未找到,未找到,未找到,23037796752.34,45298498791.54,未找到,未找到,未找到
145992846_2025-10-14_2025年第三季度报告.pdf,南京我乐家居股份有限公司,我乐家居,603326,南京我乐家居股份有限公司2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,385909349.69,未找到,2.84,45370100.67,未找到,29.20,44497911.74,未找到,37.96,2024487169.12,2501670016.59,-19.07,1146422582.53,1215722196.03,-5.70,不适用,不适用,不适用,0.1422,未找到,27.65,4.01,未找到,增加1.06个百分点,43.37%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9513,137680216.00,80550407.23,未找到,未找到,未找到,878064586.59,2024487169.12,未找到,未找到,未找到
145994467_2025-10-15_浙江九洲药业股份有限公司2025年第三季度报告.pdf,浙江九洲药业股份有限公司,九洲药业,603456,浙江九洲药业股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,4160487725.65,3965261223.17,4.92,747652814.09,630876705.82,18.51,745937192.29,618051920.08,20.67,10718737487.85,11127254062.84,-3.67,8755178673.48,8536673816.75,2.56,1342005039.49,654028177.61,105.19,0.84,0.70,20.00,8.57,7.40,增加1.17个百分点,17.67%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9944,748674344.04,632852491.81,未找到,未找到,未找到,1894528281.50,10718737487.85,未找到,未找到,未找到
145994671_2025-10-15_高能环境2025年第三季度报告.pdf,北京高能时代环境技术股份有限公司,高能环境,603588,北京高能时代环境技术股份有限公司2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,10159689969.92,11450874193.36,-11.28,646110281.18,560963138.00,15.18,599582818.74,463300000.00,29.03,27160911522.69,27267773417.21,-0.39,9578180606.50,9046113014.92,5.88,366964953.24,219357620.71,67.29,0.424,0.368,15.22,6.896,5.856,增加1.04个百分点,60.79%,一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,11,9216,777463454.04,647896419.64,未找到,未找到,未找到,16723779511.23,27160911522.69,未找到,未找到,未找到
145994895_2025-10-15_海光信息技术股份有限公司2025年第三季度报告.pdf,海光信息技术股份有限公司,海光信息,688041,海光信息技术股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"4,025,739,773.97",未找到,69.60,"759,994,598.37",未找到,13.04,"726,691,836.97",未找到,10.56,"33,181,689,668.68","28,559,492,036.59",16.18,"21,896,739,155.59","20,250,959,179.95",8.13,不适用,不适用,不适用,0.33,未找到,13.79,3.61,未找到,增加0.07个百分点,24.12%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9541,"2,840,528,700.64","2,106,819,573.58",未找到,未找到,未找到,"8,004,865,287.04","33,181,689,668.68",未找到,未找到,未找到
145995665_2025-10-15_2025年第三季度报告.pdf,成都秦川物联网科技股份有限公司,秦川物联,688528,成都秦川物联网科技股份有限公司2025年第三季度报告,2025-10-16,亏损,未找到,未找到,未找到,未找到,"91,519,055.49",未找到,26.41,"-9,034,232.39",未找到,未找到,"-10,174,143.20",未找到,未找到,"850,846,549.54","907,995,626.34",-6.29,"495,940,565.25","545,462,109.62",-9.08,"33,095,221.78",未找到,236.51,-0.05,未找到,未找到,-1.81,未找到,增加1.91个百分点,41.54%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,20,14100,"-69,854,247.01","-41,483,669.21",未找到,未找到,未找到,"353,476,635.25","850,846,549.54",未找到,未找到,未找到
145996272_2025-10-15_江西国光商业连锁股份有限公司2025年第三季度报告.pdf,江西国光商业连锁股份有限公司,国光连锁,605188,江西国光商业连锁股份有限公司2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,2133760157.44,2047355746.71,4.22,11485617.85,8182738.53,40.36,2661025.79,未找到,未找到,2792762490.08,2670147856.33,4.59,1179985475.63,1118404021.59,5.51,185133473.18,181333225.84,2.10,0.0231,0.0165,40.00,1.00,未找到,增加0.27个百分点,57.74%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,8746,11485617.85,8182738.53,未找到,未找到,未找到,1612777014.45,2792762490.08,未找到,未找到,未找到
145996555_2025-10-16_航天发展：2025年半年度报告.PDF,航天工业发展股份有限公司,航天发展,000547,2025年半年度报告,2025-08-22,亏损,未找到,未找到,未找到,未找到,689123003.44,864149516.84,-20.25%,-378363483.93,-363623739.49,-4.05%,-386338262.50,-380447942.38,-1.55%,10661255771.27,11338738911.98,-5.97%,4811894365.70,5188954276.93,-7.27%,-229003326.31,-304795748.85,24.87%,-0.24,-0.23,-4.35%,-7.57%,-5.44%,下降2.13个百分点,47.88%,第一节 重要提示、目录和释义;第二节 公司简介和主要财务指标;第三节 管理层讨论与分析;第四节 公司治理、环境和社会;第五节 重要事项;第六节 股份变动及股东情况;第七节 债券相关情况;第八节 财务报告;第九节 其他报送数据,公司计划不派发现金红利，不送红股，不以公积金转增股本。,中文,是,156,120978,-425909228.26,-398028062.23,未找到,未找到,未找到,5054417563.30,10661255771.27,公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。
145996583_2025-10-16_国邦医药2025年第三季度报告.pdf,国邦医药集团股份有限公司,国邦医药,605507,国邦医药集团股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"4,469,884,398.26","4,418,147,150.19",1.17,"670,242,636.55","578,884,934.79",15.78,"619,188,714.53","565,901,000.00",9.59,"10,579,382,838.97","10,780,436,167.58",-1.86,"8,271,649,874.93","8,047,340,282.19",2.79,"405,510,368.70","32,877,901.61",1133.38,1.21,1.04,16.35,8.24,7.63,增加0.61个百分点,21.79%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,8692,"667,887,425.77","578,638,198.06",未找到,未找到,未找到,"2,304,107,474.38","10,579,382,838.97",未找到,未找到,未找到
