filename,公司全称,公司简称,公司代码,制度名称,落款日期,制度分类,法规依据,关联公告名称,决策机构,篇幅页码,字数
145986920_2025-10-10_葵花药业：对外提供财务资助管理制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业集团,未找到,对外提供财务资助管理制度,2025-10-10,财务资助制度,《证券法》;《上市公司信息披露管理办法》;《深圳证券交易所股票上市规则》;《深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作》,未找到,股东会,4,2747
145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,银行间债券市场非金融企业债务融资工具信息披露管理制度,未找到,债务融资信息披露制度,中华人民共和国公司法;中华人民共和国证券法;银行间市场非金融企业债务融资工具管理办法;银行间债券市场非金融企业债务融资工具信息披露规则;张家港保税科技（集团）股份有限公司章程;张家港保税科技（集团）股份有限公司信息披露事务管理制度,145987016_2025-10-10_张家港保税科技（集团）股份有限公司董事会审计委员会工作细则（2025年10月修订）.pdf,董事会,8,5517
145987016_2025-10-10_张家港保税科技（集团）股份有限公司董事会审计委员会工作细则（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,董事会审计委员会工作细则,未找到,董事会审计委员会议事规则,中华人民共和国公司法;上市公司治理准则;上市公司独立董事管理办法,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,4,2260
145987017_2025-10-10_张家港保税科技（集团）股份有限公司董事会审计委员会工作规程（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,张家港保税科技（集团）,未找到,董事会审计委员会工作规程,未找到,董事会审计委员会议事规则,中华人民共和国公司法;上市公司治理准则;张家港保税科技（集团）有限公司章程;张家港保税科技（集团）有限公司董事会审计委员会工作细则,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,4,2400
145987018_2025-10-10_张家港保税科技（集团）股份有限公司董事会秘书工作细则（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,董事会秘书工作细则,未找到,董事会秘书制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司治理准则》;《上海证券交易所股票上市规则》;《上海证券交易所上市公司自律监管指引第1号——规范运作（2025年5月修订）》;《张家港保税科技（集团）股份有限公司董事会议事规则》;《张家港保税科技（集团）股份有限公司章程》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,6,3511
145987019_2025-10-10_张家港保税科技（集团）股份有限公司外部信息报送和使用管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,公司外部信息报送和使用管理制度,未找到,重大信息内部报告制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司信息披露管理办法》;《上市公司监管指引第5号——上市公司内幕信息知情人登记管理制度》;《上海证券交易所股票上市规则》;《上海证券交易所上市公司自律监管指引第2号——信息披露事务管理》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,3,1960
145987020_2025-10-10_张家港保税科技（集团）股份有限公司独立董事年报制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,独立董事年报制度,未找到,独立董事工作制度,《上市公司信息披露管理办法》;《上市公司独立董事管理办法》;《上海证券交易所股票上市规则》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,股东会,4,2247
145987021_2025-10-10_张家港保税科技（集团）股份有限公司信息披露事务管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,信息披露事务管理制度,未找到,信息披露管理办法,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司信息披露管理办法》;《上市公司治理准则》;《上海证券交易所股票上市规则》;《张家港保税科技（集团）股份有限公司公司章程》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,21,14754
145987025_2025-10-10_张家港保税科技（集团）股份有限公司投资者关系管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,投资者关系管理制度,未找到,投资者关系制度,中华人民共和国公司法;中华人民共和国证券法;上市公司投资者关系管理工作指引;上海证券交易所股票上市规则;上海证券交易所上市公司自律监管指引第1号——规范运作,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,6,3241
145987027_2025-10-10_张家港保税科技（集团）股份有限公司重大信息内部报告制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,重大信息内部报告制度,未找到,重大信息内部报告制度,中华人民共和国证券法;上市公司信息披露管理办法;上海证券交易所股票上市规则,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,6,4125
145987028_2025-10-10_张家港保税科技（集团）股份有限公司独立董事专门会议制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,独立董事专门会议制度,未找到,独立董事专门会议制度,《上市公司独立董事管理办法》;《上海证券交易所股票上市规则》;《上海证券交易所上市公司自律监管指引第1号——规范运作》;《张家港保税科技（集团）股份有限公司章程》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,3,1889
145987029_2025-10-10_张家港保税科技（集团）股份有限公司关联方资金往来管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,关联方资金往来管理制度,未找到,关联交易制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《关于规范上市公司与关联方资金往来及上市公司对外担保若干问题的通知》;《上海证券交易所股票上市规则》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,3,2216
145987030_2025-10-10_张家港保税科技（集团）股份有限公司定期报告编制及披露管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,定期报告编制及披露管理制度,未找到,定期报告制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司信息披露管理办法》;《上海证券交易所股票上市规则》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,5,3079
145987031_2025-10-10_张家港保税科技（集团）股份有限公司外部信息使用人管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,外部信息使用人管理制度,未找到,其它治理制度,中华人民共和国公司法;中华人民共和国证券法;公司章程;内幕信息知情人管理制度,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,2,1121
145987034_2025-10-10_张家港保税科技（集团）股份有限公司总经理工作细则（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,总经理工作细则,未找到,总裁工作细则,中华人民共和国公司法；张家港保税科技（集团）股份有限公司公司章程,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,4,2031
145987035_2025-10-10_张家港保税科技（集团）股份有限公司董事会薪酬与考核委员会工作细则（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,董事会薪酬与考核委员会工作细则,未找到,董事会薪酬与考核委员会议事规则,中华人民共和国公司法;上市公司治理准则;上市公司独立董事管理办法;张家港保税科技（集团）股份有限公司章程,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,4,2316
145987036_2025-10-10_张家港保税科技（集团）股份有限公司财务管理制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,张家港保税科技（集团）,未找到,财务管理制度,未找到,其它治理制度,《企业财务通则》；《企业会计准则》；《公司章程》；《公司董事会议事规则》,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,48,41964
145987037_2025-10-10_张家港保税科技（集团）股份有限公司年报信息披露重大差错责任追究制度（2025年10月修订）.pdf,张家港保税科技（集团）股份有限公司,保税科技,未找到,年报信息披露重大差错责任追究制度,未找到,信息披露差错追究制度,中华人民共和国公司法;中华人民共和国证券法;上市公司信息披露管理办法;上海证券交易所股票上市规则;张家港保税科技（集团）股份有限公司章程;张家港保税科技（集团）股份有限公司信息披露事务管理制度,145987015_2025-10-10_张家港保税科技（集团）股份有限公司银行间债券市场债务融资工具信息披露管理制度（2025年10月修订）.pdf,董事会,3,1872
145987071_2025-10-10_内部控制制度.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,内部控制制度,2025-01-01,内部控制制度,《公司法》;《证券法》;《上海证券交易所科创板股票上市规则》;《上海证券交易所科创板上市公司自律监管指引第1号——规范运作》,未找到,董事会,9,4508
145987072_2025-10-10_董事会战略委员会规则.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,董事会战略委员会规则,未找到,董事会战略委员会议事规则,《上市公司治理准则》,未找到,董事会,4,1440
145987073_2025-10-10_重大信息内部报告制度.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,重大信息内部报告制度,未找到,重大信息内部报告制度,《公司法》;《证券法》;《上海证券交易所科创板股票上市规则》,未找到,董事会,10,5594
145987077_2025-10-10_内幕信息知情人登记制度.pdf,吉林奥来德光电材料股份有限公司,奥来德,未找到,内幕信息知情人登记制度,未找到,内幕信息知情人制度,《公司法》;《证券法》;《上海证券交易所科创板股票上市规则》;《上市公司信息披露管理办法》;《上市公司监管指引第5号——上市公司内幕信息知情人登记管理制度》;《上海证券交易所科创板上市公司自律监管指引第1号——规范运作》;《上海证券交易所上市公司自律监管指引第2号——信息披露事务管理》;《吉林奥来德光电材料股份有限公司章程》,未找到,董事会,11,6839
145987078_2025-10-10_年报信息披露重大差错责任追究制度.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,年报信息披露重大差错责任追究制度,2025-01-01,信息披露差错追究制度,中华人民共和国公司法;中华人民共和国证券法;企业会计准则;上市公司信息披露管理办法;上海证券交易所科创板股票上市规则,未找到,董事会,4,1467
145987079_2025-10-10_董事会提名委员会规则.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,董事会提名委员会规则,未找到,董事会提名委员会议事规则,《公司法》;《上市公司治理准则》;《上市公司独立董事管理办法》,未找到,董事会,4,1706
145987080_2025-10-10_董事会薪酬与考核委员会规则.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,董事会薪酬与考核委员会规则,2025-01-01,董事会薪酬与考核委员会议事规则,中华人民共和国公司法;上市公司治理准则;上市公司独立董事管理办法;吉林奥来德光电材料股份有限公司章程,未找到,董事会,5,2389
145987082_2025-10-10_董事会秘书工作细则.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,董事会秘书工作细则,未找到,董事会秘书制度,中华人民共和国公司法；上海证券交易所科创板股票上市规则；上海证券交易所科创板上市公司自律监管指引第1号——规范运作；吉林奥来德光电材料股份有限公司章程,未找到,董事会,5,2127
145987083_2025-10-10_董事、高级管理人员离职管理制度.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,董事、高级管理人员离职管理制度,未找到,其他制度,中华人民共和国公司法;上市公司章程指引,未找到,董事会,5,2100
145987084_2025-10-10_投资者关系管理制度.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,投资者关系管理制度,未找到,投资者关系制度,《公司法》;《证券法》;《上海证券交易所科创板股票上市规则》;《上市公司投资者关系管理工作指引》;《吉林奥来德光电材料股份有限公司章程》,未找到,董事会,7,3639
145987085_2025-10-10_信息披露暂缓与豁免管理办法.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,信息披露暂缓与豁免管理办法,未找到,信息披露豁免及暂缓制度,《证券法》;《上市公司信息披露管理办法》;《上海证券交易所科创板股票上市规则》;《上海证券交易所科创板上市公司自律监管指引第1号——规范运作》;《上市公司信息披露暂缓与豁免管理规定》;《吉林奥来德光电材料股份有限公司信息披露管理制度》,未找到,董事会,6,2809
145987086_2025-10-10_总经理工作细则.pdf,吉林奥来德光电材料股份有限公司,吉林奥来德光电材料,未找到,总经理工作细则,未找到,总裁工作细则,《公司法》;《证券法》,未找到,董事会,10,4620
145987088_2025-10-10_[临时公告]泓禧科技_公司章程.pdf,重庆市泓禧科技股份有限公司,泓禧科技,未找到,重庆市泓禧科技股份有限公司章程,2025-10-01,公司章程,中华人民共和国公司法;中华人民共和国证券法,未找到,股东会,60,40083
145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事、高级管理人员所持本公司股份及其变动管理制度,未找到,董监高持股变动管理制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《深圳证券交易所股票上市规则》;《上市公司董事和高级管理人员所持本公司股份及其变动管理规则》《深圳证券交易所上市公司自律监管指引第10号—股份变动管理》《深圳证券交易所上市公司自律监管指引第18号—股东及董事、高级管理人员减持股份》;《完美世界股份有限公司章程》,145987180_2025-10-10_完美世界：董事会薪酬与考核委员会实施细则（2025年10月）.PDF,董事会,6,4099
145987180_2025-10-10_完美世界：董事会薪酬与考核委员会实施细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会薪酬与考核委员会实施细则,未找到,董事会薪酬与考核委员会议事规则,中华人民共和国公司法;上市公司治理准则;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,4,2143
145987182_2025-10-10_完美世界：董事、高级管理人员离职管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事、高级管理人员离职管理制度,未找到,其他制度,《中华人民共和国公司法》;《上市公司章程指引》;《深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作》;《完美世界股份有限公司章程》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,3,1987
145987183_2025-10-10_完美世界：募集资金管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,募集资金管理制度,未找到,募集资金管理制度,中华人民共和国公司法;中华人民共和国证券法;上市公司募集资金监管规则;深圳证券交易所股票上市规则;深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,10,7038
145987184_2025-10-10_完美世界：总经理工作细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,总经理工作细则,未找到,总裁工作细则,中华人民共和国公司法；完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,5,2980
145987185_2025-10-10_完美世界：公司章程（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,完美世界股份有限公司章程,2025-10-01,公司章程,《中华人民共和国公司法》;《中华人民共和国证券法》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,52,33943
145987188_2025-10-10_完美世界：防范控股股东、实际控制人及其他关联方资金占用管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,防范控股股东、实际控制人及其他关联方资金占用管理制度,未找到,关联交易制度,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则;上市公司监管指引第8号—上市公司资金往来、对外担保的监管要求;完美世界股份有限公司公司章程;完美世界股份有限公司关联交易管理制度,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,4,2808
145987189_2025-10-10_完美世界：董事、高级管理人员薪酬管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事、高级管理人员薪酬管理制度,未找到,薪酬管理制度,中华人民共和国公司法;上市公司章程指引;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,3,1268
145987190_2025-10-10_完美世界：股东会议事规则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,股东会议事规则,未找到,股东大会议事规则,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司股东会规则》;《完美世界股份有限公司章程》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,10,7510
145987191_2025-10-10_完美世界：公司章程修订对照表（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,完美世界股份有限公司章程修订对照表,2025-10-10,公司章程,中华人民共和国公司法；上市公司章程指引（2025）,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,45,46265
145987192_2025-10-10_完美世界：对外提供财务资助管理办法（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,对外提供财务资助管理办法,未找到,财务资助制度,中华人民共和国证券法;上市公司信息披露管理办法;深圳证券交易所股票上市规则;深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,5,3053
145987193_2025-10-10_完美世界：内幕信息知情人管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,内幕信息知情人管理制度,未找到,内幕信息知情人制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司信息披露管理办法》;《深圳证券交易所股票上市规则》;《上市公司监管指引第5号——上市公司内幕信息知情人登记管理制度》;《完美世界股份有限公司章程》;《信息披露管理办法》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,6,3900
145987194_2025-10-10_完美世界：信息披露管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,信息披露管理制度,未找到,信息披露管理办法,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则;上市公司信息披露管理办法,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,12,8556
145987195_2025-10-10_完美世界：对外投资管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,对外投资管理制度,未找到,对外投资制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司治理准则》;《深圳证券交易所股票上市规则》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,3,2219
145987196_2025-10-10_完美世界：对外担保管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,对外担保管理制度,未找到,对外担保制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《中华人民共和国担保法》;《深圳证券交易所股票上市规则》;《上市公司监管指引第8号—上市公司资金往来、对外担保的监管要求》;《完美世界股份有限公司章程》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,7,5093
145987197_2025-10-10_完美世界：关联交易管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,关联交易管理制度,未找到,关联交易制度,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,7,4294
145987198_2025-10-10_完美世界：董事会提名委员会实施细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会提名委员会实施细则,未找到,董事会提名委员会议事规则,中华人民共和国公司法;上市公司治理准则;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,3,1812
145987200_2025-10-10_完美世界：投资者关系管理制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,投资者关系管理制度,未找到,投资者关系制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《深圳证券交易所股票上市规则》;《上市公司投资者关系管理工作指引》;《完美世界股份有限公司章程》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,6,3581
145987201_2025-10-10_完美世界：内部审计制度（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,内部审计制度,未找到,内部审计制度,中国内部审计准则;企业内部控制基本规范,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,6,3716
145987202_2025-10-10_完美世界：董事会秘书工作细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会秘书工作细则,未找到,董事会秘书制度,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则;深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,4,2596
145987203_2025-10-10_完美世界：独立董事工作细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,独立董事工作细则,未找到,独立董事工作制度,《中华人民共和国公司法》;《上市公司独立董事管理办法》;《完美世界股份有限公司章程》,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,股东会,10,7284
145987204_2025-10-10_完美世界：董事会战略委员会实施细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会战略委员会实施细则,未找到,董事会战略委员会议事规则,中华人民共和国公司法;上市公司治理准则;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,3,1433
145987205_2025-10-10_完美世界：董事会审计委员会实施细则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会审计委员会实施细则,未找到,董事会审计委员会议事规则,中华人民共和国公司法;上市公司治理准则;深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,7,4827
145987206_2025-10-10_完美世界：董事会议事规则（2025年10月）.PDF,完美世界股份有限公司,完美世界,未找到,董事会议事规则,未找到,董事会议事规则,中华人民共和国公司法;中华人民共和国证券法;完美世界股份有限公司章程,145987179_2025-10-10_完美世界：董事、高级管理人员所持本公司股份及其变动管理制度（2025年10月）.PDF,董事会,7,4106
145987214_2025-10-10_城发环境：城发环境股份有限公司董事会审计委员会议事规则.PDF,城发环境股份有限公司,城发环境,未找到,董事会审计委员会议事规则,未找到,董事会审计委员会议事规则,中华人民共和国公司法;上市公司治理准则;深圳证券交易所股票上市规则;深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作;上市公司独立董事管理办法,145987216_2025-10-10_城发环境：城发环境股份有限公司董事会战略委员会议事规则.PDF,董事会,13,4857
145987216_2025-10-10_城发环境：城发环境股份有限公司董事会战略委员会议事规则.PDF,城发环境股份有限公司,城发环境,未找到,董事会战略委员会议事规则,未找到,董事会战略委员会议事规则,中华人民共和国公司法;上市公司治理准则;深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作;上市公司独立董事管理办法,145987214_2025-10-10_城发环境：城发环境股份有限公司董事会审计委员会议事规则.PDF,董事会,10,3522
