filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145996628_2025-10-16_天安新材2025年第三季度报告.pdf,广东天安新材料股份有限公司,天安新材,603725,广东天安新材料股份有限公司 2025 年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"829,883,408.40",未找到,2.62,"35,370,708.69",未找到,31.12,"34,981,654.84",未找到,55.64,"3,033,556,962.83","2,853,521,176.04",6.31,"827,376,756.96","759,957,749.53",8.87,"161,375,859.60","175,472,804.26",-8.03,0.118,0.324,31.11,4.36,12.32,增加 0.64 个百分点,67.45%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,10744,"112,131,910.37","99,973,838.36","112,131,910.37","99,973,838.36",12.14,"2,045,952,748.00","3,033,556,962.83",未找到,未找到,未找到
145996690_2025-10-16_春风动力2025年第三季度报告.pdf,浙江春风动力股份有限公司,春风动力,603129,浙江春风动力股份有限公司 2025 年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"5,040,899,274.75","14,896,332,446.98",28.56,"413,460,545.03","1,415,369,548.15",11.00,"399,271,413.06","1,350,332,900.52",10.09,"18,167,917,367.26","14,900,162,628.85",21.93,"7,202,540,411.44","6,194,046,198.66",16.28,"3,207,611,143.97","2,246,204,215.40",42.80,2.71,10.16,29.75,4.93,19.89,增加 0.13 个百分点,59.18%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,11,9476,"1,482,963,959.31","1,123,859,963.29","1,482,963,959.31","1,123,859,963.29",42.80,"10,742,764,056.45","18,167,917,367.26",未找到,未找到,未找到
145996890_2025-10-16_福耀玻璃2025年第三季度报告.pdf,福耀玻璃工业集团股份有限公司,福耀玻璃,600660,福耀玻璃工业集团股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"11,854,516,214",未找到,18.86,"2,259,142,444","7,063,854,155",14.09,"2,214,951,522","6,921,634,077",12.19,"70,641,939,363","63,254,182,536",11.68,"35,473,992,872","35,694,366,243",-0.62,不适用,未找到,不适用,0.87,2.71,14.47,6.17,19.35,增加0.07个百分点,50.35%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表;母公司资产负债表;母公司利润表;母公司现金流量表,未找到,中文,否,15,13050,"7,067,671,152","5,483,021,139","7,067,671,152","5,483,021,139",17.61,"35,172,926,559","70,641,939,363",未找到,未找到,未找到
145997504_2025-10-16_2025年第三季度报告.pdf,河南仕佳光子科技股份有限公司,仕佳光子,688313,河南仕佳光子科技股份有限公司 2025 年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"567,812,177.70","555,432,789.60",102.50,"83,070,317.79","34,200,000.00",242.52,"82,785,704.18","33,900,000.00",294.95,"2,548,425,253.78","1,782,151,776.79",43.00,"1,476,115,788.68","1,198,593,410.18",23.15,"-56,726,809.33","-45,567,903.62",-348.09,0.1838,0.6631,242.27,5.78,22.34,增加 3.68 个百分点,41.78%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,13,10128,"299,717,803.45","36,209,033.27","299,717,803.45","36,209,033.27",727.74,"1,072,309,465.10","2,548,425,253.78",未找到,未找到,未找到
145998097_2025-10-17_2025年第三季度报告.pdf,宁波金田铜业（集团）股份有限公司,金田股份,601609,宁波金田铜业（集团）股份有限公司 2025 年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"32,471,398,997.99","91,764,969,637.20",-4.42,"215,056,768.01","588,487,458.16",30.30,"136,998,402.49","400,365,000.19","1,326.18","28,789,980,326.80","25,802,147,560.79",11.58,"10,176,174,772.22","8,345,094,263.85",21.94,"-1,200,890,571.85","-323,578,069.19",不适用,0.14,0.40,100.00,2.36,6.85,增加 3.34 个百分点,65.77%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;（一）关于“金田转债”情况;（二）关于“金铜转债”情况;（三）关于回购公司股份情况;（四）关于控股股东增持情况;（五）关于监事会取消及制度修订情况;（六）关于员工持股计划情况;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表;母公司资产负债表;母公司利润表;母公司现金流量表,未找到,中文,是,21,18977,"600,489,377.32","288,346,668.93","600,489,377.32","288,346,668.93",不适用,"18,371,841,685.45","28,789,980,326.80",未找到,未找到,未找到
145998163_2025-10-17_腾景科技2025年第三季度报告.pdf,腾景科技股份有限公司,腾景科技,688195,腾景科技股份有限公司 2025 年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"162,253,874.81","425,131,074.76",34.83,"27,213,666.02","63,802,495.35",20.11,"26,646,645.53","61,271,390.30",19.52,"1,409,418,551.70","1,299,206,049.14",8.48,"965,764,614.12","921,357,359.27",4.82,不适用,"94,598,265.40",不适用,0.21,0.50,16.67,2.86,6.78,增加 0.75 个百分点,74.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,9400,"66,167,880.89","55,074,128.77","66,167,880.89","55,074,128.77",未找到,"392,786,482.31","1,409,418,551.70",未找到,未找到,未找到
145998251_2025-10-17_萤石网络第三季度报告.pdf,杭州萤石网络股份有限公司,萤石网络,688475,杭州萤石网络股份有限公司 2025 年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"1,465,385,300.84","1,422,385,300.84",6.25,"119,867,357.20","93,011,889.91",28.73,"93,011,889.91","74,234,567.89",1.78,"8,530,448,536.51","8,353,718,200.43",2.12,"5,643,165,464.84","5,493,265,544.50",2.73,"510,118,494.73","131,165,343.30",288.91,0.15,0.54,25.00,2.15,7.56,增加 0.53 个百分点,33.84%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,9251,"422,313,004.87","374,776,500.83","422,313,004.87","374,776,500.83",12.68,"2,887,283,071.67","8,530,448,536.51",未找到,未找到,未找到
145998288_2025-10-17_2025年第三季度报告.pdf,浙江嘉澳环保科技股份有限公司,嘉澳环保,603822,浙江嘉澳环保科技股份有限公司2025年第三季度报告,2025-10-18,扭亏为盈,未找到,未找到,未找到,未找到,"1,706,526,032.66",未找到,511.45,"52,868,853.51","-25,365,865.15",不适用,"52,361,992.99","-26,979,346.25",不适用,"7,002,706,467.56","5,956,015,533.61",17.57,"446,716,504.98","613,800,122.90",-27.22,"55,321,254.84","107,072,053.21",-14.95%,0.6881,-0.3302,不适用,9.96,-4.86,不适用,80.98%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,8941,"59,554,495.16","-141,290,087.35","59,554,495.16","-141,290,087.35",不适用,"5,676,460,525.47","7,002,706,467.56",未找到,未找到,未找到
145998378_2025-10-17_国机通用2025年第三季度报告.pdf,国机通用机械科技股份有限公司,国机通用,600444,国机通用机械科技股份有限公司2025年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"114,263,279.27","149,048,851.78",-31.72,"3,866,235.05","3,687,377.82",-46.73,"3,863,924.61","3,687,377.82",-71.22,"1,489,043,186.00","1,342,913,226.62",10.88,"728,321,985.56","708,512,911.28",2.80,"149,048,851.78",不适用,不适用,0.03,-47.23,22.69,0.53,-49.31,17.13,51.24%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,8476,"35,929,974.67","29,547,077.30","3,866,235.05","3,687,377.82",-46.73,"760,721,200.44","1,489,043,186.00",未找到,未找到,未找到
145998430_2025-10-17_东尼电子2025年第三季度报告.pdf,浙江东尼电子股份有限公司,东尼电子,603595,浙江东尼电子股份有限公司 2025 年第三季度报告,2025-10-18,亏损,未找到,未找到,未找到,未找到,"618,246,208.70","1,457,383,135.96",2.51,"26,606,974.72","-14,605,086.69",11.10,"25,914,088.87","-27,670,555.83",111.39,"4,938,961,830.58","5,087,787,899.74",-2.93,"1,545,856,523.20","1,563,948,245.01",-1.16,"190,236,507.96","684,019,760.65",-72.19,0.12,-0.06,20.00,1.73,-0.94,增加 0.13 个百分点,66.67%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,10,8745,"-46,546,181.16","-96,878,156.90","-46,546,181.16","-96,878,156.90",未找到,"3,237,527,918.83","4,938,961,830.58",未找到,未找到,未找到
145998464_2025-10-17_2025年第三季度报告.pdf,三棵树涂料股份有限公司,三棵树,603737,三棵树涂料股份有限公司 2025 年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"3,575,488,482.99","3,447,330,847.69",5.62,"307,773,727.05","743,608,254.85",53.64,"272,341,453.27","564,557,514.84",60.11,"14,194,802,456.79","13,992,869,789.47",1.44,"3,247,927,985.78","2,685,997,217.03",20.92,"1,087,759,636.42","916,126,466.13",18.73,0.42,1.01,55.56,9.77,24.92,2.35,74.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表;2025年起首次执行新会计准则或准则解释等涉及调整首次执行当年年初的财务报表,未找到,中文,否,11,9784,"731,407,689.01","406,064,712.90","731,407,689.01","406,064,712.90",77.68,"10,757,807,438.61","14,194,802,456.79",未找到,未找到,未找到
145998500_2025-10-17_2025年第三季度报告.pdf,神通科技集团股份有限公司,神通科技,605228,神通科技集团股份有限公司 2025 年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"486,234,358.75",未找到,61.66,"48,988,177.83",未找到,452.62,"48,480,724.75",未找到,440.01,"2,994,370,606.22","2,818,547,984.21",6.24,"1,673,966,647.34","1,493,307,034.83",12.10,"171,565,096.81","32,622,223.93",425.91,0.12,0.04,500.00,3.01,7.18,增加 3.90 个百分点,44.15%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,13,10253,"113,266,148.96","16,557,784.87","113,266,148.96","16,557,784.87",584.07,"1,320,403,958.88","2,994,370,606.22",未找到,未找到,未找到
